Requirement,Cost,Benefit
R269,15,61
R270,28,33
R271,38,51
R272,10,53
R273,42,59
R274,11,81
R275,6,54
R276,63,40
R277,43,64
R278,51,72
R279,69,28
R280,20,60
R281,73,66
R282,42,77
R283,28,79
R284,2,9
R285,12,17
R286,38,50
R287,70,56
R288,75,43
R289,84,6
R290,83,46
R291,61,61
R292,0,54
R293,36,60
R294,76,73
R295,49,46
R296,47,59
R297,44,65
R298,39,28
R299,59,31
R300,9,50
R301,38,66
R302,58,85
R303,88,2
R304,99,51
R305,69,81
R306,83,66
R307,26,71
R308,16,41
R309,94,100
R310,80,54
R311,74,88
R312,91,21
R313,36,74
R314,32,27
R315,15,2
R316,49,27
R317,12,75
R318,7,92
R319,55,17
R320,61,4
R321,56,88
R322,1,49
R323,91,44
R324,65,16
R325,57,61
R326,23,96
R327,26,47
R328,45,8
R329,72,54
R330,89,77
R331,51,48
R332,76,61
R333,65,79
R334,8,90
R335,14,64
R336,9,30
R337,11,33
R338,60,27
R339,1,78
R340,85,7
R341,35,26
R342,48,45
R343,68,57
R344,43,71
R345,4,72
R346,55,80
R347,38,51
R348,35,4
R349,38,12
R350,54,81
R351,29,53
R352,93,22
R353,90,82
R354,25,24
R355,80,33
R356,2,7
R357,61,20
R358,32,44
R359,30,92
R360,55,37
R361,84,65
R362,11,65
R363,11,56
R364,42,44
R365,88,85
R366,76,52
R367,28,36
R368,50,92
R369,23,88
R370,81,57
R371,78,39
R372,10,31
R373,93,53
R374,29,51
R375,26,64
R376,54,80
R377,10,19
R378,54,78
R379,11,79
R380,49,89
R381,81,24
R382,85,77
R383,80,70
R384,41,96
R385,25,30
R386,100,53
R387,80,40
R388,17,22
R389,79,27
R390,8,68
R391,23,79
R392,57,19
R393,70,7
R394,94,99
R395,94,91
R396,23,75
R397,57,38
R398,73,33
R399,22,49
R400,8,91
R401,36,22
R402,45,58
R403,42,94
R404,56,65
R405,71,55
R406,79,33
R407,22,46
R408,7,100
R409,57,54
R410,43,20
R411,39,90
R412,55,63
R413,57,51
R414,22,27
R415,62,35
R416,64,88
R417,75,23
R418,100,28
R419,74,43
R420,56,11
R421,38,100
R422,14,78
R423,79,85
R424,63,7
R425,22,30
R426,30,33
R427,94,30
R428,15,46
R429,80,76
R430,12,25
R431,100,86
R432,49,68
R433,75,93
R434,95,48
R435,65,100
R436,98,51
R437,22,87
R438,67,57
R439,54,45
R440,25,31
R441,58,92
R442,27,95
R443,17,69
R444,31,51
R445,77,41
R446,58,62
R447,84,90
R448,89,36
R449,21,83
R450,32,99
R451,46,47
R452,58,57
R453,34,30
R454,36,74
R455,74,66
R456,10,50
R457,15,94
R458,75,0
R459,52,99
R460,78,86
R461,96,87
R462,55,58
R463,27,50
R464,81,33
R465,45,2
R466,75,50
R467,2,39
R468,72,44
R469,83,37
R470,39,9
R471,27,81
R472,91,83
R473,98,55
R474,87,15
R475,37,8
R476,0,43
R477,42,69
R478,54,78
R479,22,58
R480,15,51
R481,44,18
R482,32,73
R483,16,100
R484,6,74
R485,52,70
R486,99,44
R487,97,54
R488,16,88
R489,16,76
R490,84,76
R491,81,81
R492,13,58
R493,24,14
R494,5,98
R495,80,9
R496,27,9
R497,30,99
R498,67,40
R499,60,9
R500,51,59
R501,16,22
R502,28,28
R503,99,0
R504,33,86
R505,51,88
R506,13,6
R507,72,30
R508,89,48
R509,100,13
R510,40,46
R511,66,39
R512,46,35
R513,7,92
R514,17,81
R515,92,64
R516,33,32
R517,20,20
R518,45,36
R519,22,41
R520,23,51
R521,10,69
R522,54,17
R523,53,78
R524,98,38
R525,54,83
R526,77,95
R527,39,73
R528,51,35
R529,3,84
R530,63,24
R531,67,82
R532,43,37
R533,42,66
R534,33,0
R535,77,35
R536,34,38
R537,99,25
R538,48,85
R539,29,91
R540,4,42
R541,79,92
R542,74,79
R543,42,94
R544,78,69
R545,69,19
R546,70,61
R547,81,52
R548,39,82
R549,86,67
R550,78,3
R551,5,20
R552,67,52
R553,76,31
R554,16,62
R555,45,33
R556,82,60
R557,77,4
R558,39,72
R559,60,92
R560,42,55
R561,98,67
R562,18,100
R563,96,6
R564,53,85
R565,93,98
R566,48,12
R567,9,60
R568,91,66
R569,96,2
R570,66,65
R571,24,82
R572,78,67
R573,69,92
R574,16,57
R575,9,61
R576,78,9
R577,12,93
R578,73,36
R579,2,83
R580,91,87
R581,44,56
R582,81,2
R583,1,95
R584,5,94
R585,41,67
R586,19,70
R587,77,47
R588,67,6
R589,59,95
R590,29,54
R591,51,85
R592,89,10
R593,39,62
R594,9,52
R595,61,89
R596,28,20
R597,52,59
R598,20,28
R599,72,75
R600,43,22
R601,32,70
R602,27,58
R603,11,62
R604,27,27
R605,42,53
R606,6,77
R607,38,93
R608,23,65
R609,46,94
R610,73,23
R611,46,60
R612,63,67
R613,6,42
R614,80,81
R615,83,63
R616,6,4
R617,57,64
R618,78,74
R619,2,13
R620,60,77
R621,27,62
R622,22,5
R623,55,17
R624,84,43
R625,71,78
R626,33,33
R627,74,46
R628,71,59
R629,9,52
R630,3,25
R631,74,45
R632,54,97
R633,24,14
R634,50,24
R635,75,1
R636,80,77
R637,77,81
R638,94,30
R639,53,49
R640,1,75
R641,84,66
R642,2,21
R643,27,88
R644,9,18
R645,9,86
R646,82,95
R647,71,13
R648,22,4
R649,66,18
R650,4,74
R651,66,48
R652,65,22
R653,55,7
R654,21,44
R655,83,52
R656,12,4
R657,99,75
R658,52,71
R659,100,30
R660,0,16
R661,71,53
R662,95,90
R663,27,31
R664,52,29
R665,90,68
R666,43,58
R667,46,28
R668,89,62
R669,64,81
R670,22,67
R671,58,89
R672,60,96
R673,57,13
R674,24,35
R675,4,61
R676,91,34
R677,95,48
R678,82,11
R679,5,60
R680,64,94
R681,20,29
R682,7,73
R683,81,84
R684,16,69
R685,61,68
R686,76,24
R687,7,5
R688,5,9
R689,29,73
R690,6,34
R691,99,73
R692,85,5
R693,98,51
R694,70,64
R695,35,10
R696,28,39
R697,54,70
R698,25,19
R699,13,96
R700,37,25
R701,82,21
R702,51,55
R703,66,47
R704,24,74
R705,16,23
R706,5,21
R707,13,62
R708,98,43
R709,75,3
R710,92,48
R711,27,16
R712,24,60
R713,8,69
R714,75,51
R715,98,8
R716,62,0
R717,88,22
R718,61,75
R719,52,79
R720,84,25
R721,71,86
R722,80,92
R723,93,17
R724,82,26
R725,69,12
R726,4,66
R727,45,31
R728,26,51
R729,11,30
R730,79,7
R731,80,41
R732,2,68
R733,87,18
R734,89,33
R735,46,4
R736,68,75
R737,23,43
R738,11,23
R739,36,6
R740,28,16
R741,97,57
R742,25,19
R743,93,88
R744,37,54
R745,85,93
R746,50,19
R747,66,14
R748,76,97
R749,45,93
R750,9,28
R751,29,43
R752,88,13
R753,88,15
R754,27,27
R755,93,88
R756,54,7
R757,73,67
R758,97,83
R759,23,78
R760,95,81
R761,10,39
R762,21,41
R763,98,73
R764,15,34
R765,33,13
R766,57,84
R767,91,87
R768,74,7
R769,39,57
R770,63,33
R771,52,87
R772,93,56
R773,16,34
R774,11,27
R775,9,57
R776,84,46
R777,15,99
R778,39,45
R779,23,51
R780,54,2
R781,35,32
R782,41,42
R783,50,42
R784,44,68
R785,12,71
R786,52,81
R787,84,68
R788,68,53
R789,16,90
R790,32,36
R791,88,6
R792,24,37
R793,71,15
R794,36,78
R795,8,6
R796,4,55
R797,20,78
R798,84,31
R799,23,84
R800,95,71
R801,31,51
R802,13,14
R803,52,68
R804,43,11
R805,52,51
R806,98,96
R807,3,26
R808,63,54
R809,88,81
R810,67,16
R811,71,21
R812,19,80
R813,87,43
R814,76,76
R815,9,64
R816,73,35
R817,23,10
R818,93,48
R819,67,87
R820,16,63
R821,0,3
R822,93,3
R823,1,70
R824,13,97
R825,50,67
R826,96,50
R827,24,42
R828,5,56
R829,59,70
R830,13,8
R831,12,95
R832,95,96
R833,76,31
R834,20,41
R835,47,14
R836,94,61
R837,43,55
R838,11,3
R839,39,58
R840,56,18
R841,11,10
R842,69,94
R843,80,92
R844,26,97
R845,25,81
R846,85,34
R847,48,61
R848,43,43
R849,3,75
R850,78,70
R851,26,82
R852,70,65
R853,47,11
R854,43,57
R855,20,95
R856,29,90
R857,38,84
R858,46,64
R859,55,49
R860,90,13
R861,0,57
R862,13,63
R863,94,66
R864,57,2
R865,20,7
R866,44,77
R867,28,72
R868,65,5
R869,15,6
R870,84,43
R871,58,95
R872,77,70
R873,6,71
R874,25,51
R875,13,66
R876,54,61
R877,92,54
R878,16,58
R879,88,73
R880,28,0
R881,33,53
R882,94,85
R883,59,98
R884,19,52
R885,87,81
R886,10,0
R887,73,88
R888,18,51
R889,84,58
R890,44,54
R891,2,21
R892,21,8
R893,24,29
R894,6,43
R895,36,89
R896,15,1
R897,66,66
R898,100,61
R899,27,39
R900,92,100
R901,94,11
R902,52,30
R903,29,18
R904,83,33
R905,58,51
R906,77,45
R907,58,46
R908,89,56
R909,98,15
R910,96,80
R911,39,99
R912,40,75
R913,71,94
R914,97,67
R915,56,6
R916,75,93
R917,76,28
R918,35,67
R919,52,38
R920,52,95
R921,32,87
R922,89,64
R923,9,18
R924,6,75
R925,46,30
R926,26,57
R927,82,85
R928,38,64
R929,78,63
R930,5,68
R931,88,35
R932,14,67
R933,48,46
R934,44,51
R935,67,22
R936,81,6
R937,86,39
R938,7,9
R939,89,59
R940,73,64
R941,56,73
R942,75,42
R943,60,95
R944,46,12
R945,57,19
R946,59,93
R947,12,14
R948,55,60
R949,30,87
R950,92,2
R951,52,72
R952,88,49
R953,70,71
R954,15,54
R955,64,1
R956,65,30
R957,56,87
R958,61,34
R959,61,53
R960,48,66
R961,89,55
R962,19,84
R963,16,60
R964,4,10
R965,59,9
R966,27,90
R967,59,15
R968,20,77
R969,13,27
R970,36,69
R971,82,64
R972,36,15
R973,58,37
R974,8,61
R975,9,36
R976,72,60
R977,14,61
R978,65,33
R979,30,5
R980,9,87
R981,26,71
R982,56,8
R983,74,62
R984,95,12
R985,48,46
R986,72,94
R987,36,58
R988,26,10
R989,81,98
R990,30,10
R991,11,8
R992,89,19
R993,59,70
R994,69,43
R995,1,37
R996,40,10
R997,10,61
R998,69,83
R999,76,83
R1000,45,25
R1001,58,53
R1002,96,52
R1003,40,65
R1004,25,26
R1005,87,79
R1006,55,91
R1007,89,66
R1008,43,42
R1009,2,50
R1010,42,3
R1011,46,33
R1012,88,9
R1013,86,31
R1014,49,78
R1015,42,10
R1016,4,38
R1017,4,27
R1018,64,87
R1019,67,54
R1020,24,47
R1021,100,38
R1022,46,2
R1023,51,40
R1024,89,29
R1025,25,56
R1026,6,25
R1027,10,94
R1028,43,23
R1029,5,29
R1030,82,72
R1031,44,5
R1032,6,89
R1033,15,60
R1034,62,28
R1035,80,68
R1036,54,69
R1037,72,58
R1038,2,16
R1039,48,37
R1040,9,63
R1041,64,71
R1042,3,66
R1043,76,37
R1044,10,46
R1045,89,34
R1046,15,61
R1047,67,37
R1048,48,42
R1049,45,83
R1050,16,89
R1051,82,77
R1052,74,22
R1053,60,5
R1054,5,72
R1055,41,73
R1056,21,2
R1057,80,4
R1058,56,3
R1059,98,20
R1060,12,91
R1061,12,29
R1062,24,40
R1063,75,67
R1064,69,77
R1065,34,52
R1066,21,62
R1067,75,73
R1068,81,22
R1069,94,69
R1070,24,63
R1071,77,12
R1072,94,62
R1073,34,39
R1074,0,3
R1075,30,93
R1076,25,53
R1077,15,34
R1078,53,10
R1079,5,42
R1080,94,36
R1081,77,72
R1082,98,5
R1083,71,33
R1084,77,30
R1085,10,36
R1086,66,90
R1087,12,73
R1088,80,62
R1089,7,77
R1090,82,65
R1091,82,1
R1092,74,57
R1093,65,51
R1094,65,84
R1095,49,28
R1096,30,25
R1097,14,5
R1098,89,34
R1099,93,87
R1100,11,97
R1101,17,83
R1102,50,98
R1103,23,89
R1104,1,8
R1105,69,99
R1106,79,70
R1107,51,45
R1108,22,49
R1109,40,33
R1110,4,30
R1111,10,18
R1112,61,16
R1113,41,64
R1114,2,96
R1115,81,82
R1116,58,74
R1117,95,35
R1118,91,47
R1119,77,54
R1120,16,39
R1121,75,50
R1122,55,4
R1123,3,95
R1124,27,98
R1125,49,34
R1126,0,90
R1127,35,15
R1128,16,24
R1129,33,73
R1130,83,19
R1131,26,97
R1132,60,97
R1133,14,79
R1134,5,100
R1135,72,16
R1136,25,1
R1137,67,85
R1138,80,46
R1139,28,5
R1140,80,100
R1141,52,42
R1142,42,10
R1143,75,91
R1144,83,54
R1145,95,58
R1146,25,89
R1147,12,78
R1148,15,90
R1149,8,79
R1150,38,37
R1151,34,80
R1152,9,30
R1153,52,25
R1154,73,62
R1155,22,68
R1156,52,13
R1157,94,35
R1158,3,29
R1159,90,11
R1160,23,23
R1161,93,76
R1162,29,16
R1163,12,96
R1164,31,96
R1165,14,34
R1166,35,6
R1167,47,36
R1168,67,14
R1169,53,79
R1170,51,8
R1171,30,37
R1172,94,81
R1173,38,54
R1174,41,86
R1175,25,50
R1176,68,28
R1177,31,23
R1178,89,37
R1179,99,19
R1180,40,18
R1181,39,55
R1182,28,83
R1183,40,72
R1184,48,46
R1185,53,87
R1186,37,36
R1187,53,40
R1188,0,49
R1189,44,53
R1190,61,94
R1191,87,60
R1192,50,43
R1193,31,64
R1194,22,80
R1195,74,45
R1196,1,20
R1197,39,37
R1198,89,100
R1199,75,19
R1200,89,81
R1201,52,45
R1202,27,65
R1203,1,100
R1204,3,83
R1205,85,85
R1206,10,93
R1207,89,3
R1208,6,31
R1209,75,99
R1210,72,19
R1211,12,81
R1212,53,77
R1213,39,24
R1214,11,65
R1215,26,68
R1216,13,16
R1217,74,30
R1218,97,32
R1219,83,98
R1220,89,35
R1221,29,48
R1222,96,89
R1223,7,73
R1224,98,94
R1225,87,22
R1226,78,70
R1227,93,14
R1228,51,4
R1229,44,67
R1230,99,73
R1231,96,86
R1232,60,17
R1233,13,70
R1234,93,44
R1235,6,87
R1236,78,59
R1237,77,72
R1238,87,40
R1239,39,99
R1240,24,92
R1241,17,51
R1242,22,69
R1243,36,74
R1244,34,89
R1245,52,38
R1246,15,39
R1247,14,87
R1248,85,56
R1249,87,41
R1250,71,32
R1251,24,80
R1252,38,23
R1253,53,45
R1254,60,31
R1255,21,21
R1256,22,9
R1257,91,77
R1258,44,25
R1259,73,94
R1260,61,23
R1261,99,84
R1262,12,63
R1263,82,93
R1264,20,34
R1265,39,88
R1266,77,13
R1267,16,85
R1268,19,79
R1269,86,93
R1270,51,21
R1271,72,52
R1272,67,24
R1273,32,22
R1274,64,64
R1275,47,95
R1276,51,2
R1277,98,17
R1278,77,46
R1279,27,59
R1280,37,86
R1281,87,32
R1282,10,24
R1283,13,19
R1284,83,74
R1285,48,43
R1286,47,59
R1287,84,22
R1288,78,80
R1289,83,23
R1290,71,69
R1291,54,84
R1292,28,100
R1293,76,59
R1294,90,71
R1295,37,6
R1296,74,67
R1297,33,33
R1298,36,19
R1299,65,32
R1300,100,97
R1301,47,45
R1302,32,64
R1303,71,25
R1304,4,73
R1305,60,76
R1306,95,79
R1307,6,38
R1308,67,33
R1309,17,52
R1310,89,40
R1311,15,13
R1312,93,15
R1313,73,77
R1314,6,52
R1315,83,10
R1316,98,82
R1317,46,33
R1318,58,6
R1319,4,84
R1320,18,35
R1321,51,14
R1322,35,32
R1323,67,21
R1324,78,19
R1325,55,20
R1326,16,72
R1327,58,5
R1328,41,6
R1329,33,81
R1330,64,83
R1331,55,91
R1332,17,46
R1333,0,51
R1334,43,91
R1335,2,38
R1336,35,39
R1337,73,91
R1338,10,50
R1339,92,65
R1340,87,38
R1341,45,69
R1342,22,55
R1343,48,56
R1344,71,47
R1345,18,63
R1346,61,66
R1347,72,93
R1348,85,45
R1349,86,86
R1350,66,69
R1351,3,68
R1352,63,24
R1353,2,38
R1354,29,41
R1355,25,62
R1356,32,90
R1357,56,61
R1358,49,93
R1359,51,70
R1360,67,19
R1361,14,87
R1362,22,65
R1363,60,86
R1364,18,99
R1365,87,24
R1366,40,25
R1367,31,90
R1368,3,48
R1369,75,54
R1370,85,78
R1371,39,56
R1372,83,72
R1373,34,77
R1374,31,13
R1375,97,46
R1376,94,77
R1377,22,9
R1378,88,87
R1379,88,9
R1380,57,2
R1381,67,26
R1382,1,59
R1383,15,27
R1384,80,91
R1385,83,56
R1386,4,91
R1387,30,78
R1388,38,37
R1389,96,69
R1390,86,0
R1391,10,32
R1392,23,52
R1393,11,41
R1394,37,75
R1395,52,0
R1396,62,42
R1397,2,18
R1398,33,99
R1399,59,62
R1400,53,57
R1401,50,16
R1402,48,44
R1403,93,3
R1404,87,43
R1405,10,14
R1406,80,10
R1407,75,84
R1408,81,79
R1409,74,36
R1410,96,8
R1411,30,73
R1412,66,59
R1413,69,35
R1414,33,89
R1415,69,82
R1416,97,94
R1417,30,61
R1418,40,82
R1419,16,30
R1420,83,46
R1421,0,20
R1422,22,62
R1423,90,85
R1424,68,70
R1425,65,27
R1426,15,48
R1427,51,30
R1428,29,19
R1429,80,47
R1430,32,40
R1431,31,50
R1432,31,34
R1433,17,58
R1434,45,32
R1435,91,49
R1436,38,58
R1437,48,23
R1438,67,73
R1439,31,71
R1440,39,27
R1441,83,31
R1442,72,77
R1443,34,4
R1444,44,36
R1445,59,6
R1446,73,10
R1447,47,68
R1448,7,2
R1449,82,72
R1450,5,81
R1451,70,87
R1452,8,45
R1453,86,22
R1454,4,57
R1455,95,83
R1456,25,87
R1457,25,25
R1458,49,82
R1459,38,93
R1460,13,25
R1461,23,49
R1462,46,96
R1463,89,57
R1464,91,95
R1465,56,58
R1466,64,29
R1467,8,88
R1468,90,23
R1469,7,100
R1470,5,22
R1471,12,89
R1472,75,61
R1473,58,68
R1474,51,74
R1475,82,18
R1476,13,49
R1477,97,68
R1478,64,44
R1479,40,72
R1480,96,72
R1481,71,38
R1482,44,100
R1483,27,0
R1484,10,26
R1485,15,62
R1486,41,47
R1487,64,33
R1488,2,44
R1489,56,17
R1490,87,84
R1491,49,96
R1492,29,95
R1493,8,55
R1494,38,78
R1495,24,34
R1496,47,18
R1497,11,55
R1498,49,54
R1499,51,26
R1500,37,42
R1501,98,22
R1502,64,92
R1503,43,31
R1504,67,53
R1505,95,94
R1506,44,52
R1507,25,9
R1508,72,39
R1509,87,83
R1510,75,41
R1511,92,58
R1512,93,13
R1513,90,14
R1514,85,81
R1515,4,51
R1516,1,50
R1517,97,63
R1518,0,70
R1519,23,45
R1520,51,27
R1521,15,13
R1522,94,65
R1523,45,38
R1524,0,16
R1525,1,42
R1526,42,61
R1527,53,63
R1528,56,39
R1529,42,62
R1530,73,50
R1531,17,0
R1532,80,97
R1533,25,61
R1534,97,34
R1535,61,76
R1536,100,66
R1537,30,27
R1538,63,62
R1539,83,91
R1540,30,1
R1541,3,27
R1542,43,25
R1543,39,19
R1544,18,25
R1545,70,55
R1546,79,24
R1547,87,9
R1548,94,41
R1549,93,47
R1550,77,66
R1551,43,40
R1552,31,61
R1553,11,68
R1554,31,7
R1555,19,22
R1556,47,69
R1557,44,12
R1558,40,12
R1559,81,78
R1560,59,14
R1561,37,3
R1562,37,33
R1563,80,87
R1564,63,65
R1565,11,11
R1566,61,53
R1567,53,29
R1568,77,97
R1569,19,63
R1570,64,9
R1571,12,94
R1572,3,67
R1573,28,7
R1574,78,37
R1575,40,24
R1576,53,12
R1577,55,34
R1578,61,51
R1579,1,56
R1580,9,20
R1581,28,83
R1582,99,89
R1583,75,84
R1584,89,76
R1585,38,60
R1586,1,0
R1587,81,40
R1588,86,56
R1589,83,32
R1590,59,79
R1591,64,28
R1592,15,66
R1593,14,90
R1594,99,60
R1595,93,66
R1596,20,18
R1597,56,89
R1598,41,68
R1599,80,81
R1600,76,88
R1601,67,56
R1602,19,31
R1603,24,60
R1604,2,79
R1605,17,14
R1606,88,64
R1607,27,14
R1608,29,30
R1609,73,24
R1610,32,20
R1611,95,65
R1612,19,11
R1613,61,22
R1614,17,73
R1615,30,79
R1616,42,58
R1617,4,94
R1618,47,95
R1619,89,36
R1620,42,89
R1621,6,62
R1622,61,28
R1623,59,58
R1624,91,95
R1625,23,33
R1626,8,27
R1627,22,19
R1628,40,52
R1629,33,85
R1630,77,56
R1631,19,67
R1632,86,86
R1633,59,72
R1634,83,65
R1635,71,53
R1636,80,98
R1637,64,99
R1638,35,98
R1639,57,3
R1640,56,60
R1641,88,69
R1642,42,73
R1643,20,71
R1644,34,87
R1645,32,5
R1646,99,37
R1647,64,79
R1648,39,91
R1649,59,89
R1650,77,22
R1651,38,39
R1652,95,36
R1653,0,8
R1654,97,20
R1655,62,78
R1656,5,41
R1657,22,70
R1658,61,96
R1659,7,48
R1660,84,41
R1661,14,6
R1662,68,37
R1663,75,72
R1664,64,71
R1665,45,91
R1666,41,43
R1667,9,5
R1668,31,87
R1669,46,70
R1670,17,49
R1671,10,25
R1672,95,32
R1673,18,5
R1674,54,33
R1675,63,5
R1676,88,30
R1677,84,76
R1678,54,65
R1679,38,70
R1680,22,57
R1681,5,1
R1682,52,0
R1683,56,49
R1684,40,30
R1685,20,7
R1686,9,35
R1687,13,31
R1688,44,85
R1689,36,99
R1690,91,66
R1691,6,44
R1692,5,12
R1693,41,83
R1694,59,99
R1695,8,79
R1696,68,31
R1697,16,6
R1698,61,87
R1699,7,45
R1700,26,1
R1701,2,25
R1702,99,18
R1703,91,80
R1704,28,52
R1705,14,95
R1706,76,65
R1707,84,17
R1708,53,64
R1709,68,37
R1710,59,89
R1711,52,28
R1712,14,71
R1713,72,1
R1714,56,34
R1715,100,11
R1716,17,60
R1717,74,29
R1718,1,54
R1719,86,85
R1720,86,15
R1721,15,14
R1722,89,23
R1723,75,62
R1724,20,50
R1725,66,24
R1726,91,25
R1727,29,51
R1728,60,40
R1729,74,15
R1730,28,75
R1731,24,22
R1732,98,31
R1733,70,97
R1734,10,33
R1735,79,68
R1736,57,8
R1737,91,23
R1738,77,97
R1739,21,48
R1740,38,27
R1741,42,87
R1742,28,93
R1743,61,55
R1744,21,58
R1745,46,39
R1746,67,38
R1747,99,60
R1748,95,63
R1749,39,38
R1750,28,11
R1751,37,73
R1752,66,90
R1753,38,35
R1754,30,63
R1755,26,78
R1756,38,92
R1757,43,10
R1758,36,85
R1759,40,3
R1760,85,85
R1761,86,62
R1762,80,20
R1763,32,25
R1764,80,30
R1765,3,97
R1766,68,32
R1767,77,86
R1768,49,80
R1769,78,14
R1770,98,91
R1771,88,76
R1772,19,86
R1773,97,87
R1774,84,76
R1775,53,18
R1776,39,30
R1777,27,5
R1778,82,55
R1779,44,74
R1780,5,71
R1781,63,16
R1782,10,56
R1783,51,5
R1784,16,48
R1785,32,78
R1786,1,84
R1787,61,37
R1788,53,14
R1789,50,63
R1790,64,29
R1791,14,61
R1792,29,24
R1793,45,12
R1794,84,95
R1795,13,87
R1796,92,15
R1797,100,14
R1798,86,15
R1799,83,43
R1800,23,29
R1801,47,87
R1802,58,82
R1803,57,12
R1804,88,95
R1805,66,83
R1806,81,75
R1807,84,100
R1808,46,28
R1809,76,52
R1810,99,25
R1811,43,65
R1812,89,45
R1813,67,44
R1814,80,16
R1815,69,4
R1816,14,23
R1817,47,76
R1818,75,31
R1819,10,71
R1820,23,76
R1821,97,21
R1822,31,37
R1823,90,19
R1824,82,70
R1825,41,55
R1826,94,19
R1827,67,51
R1828,55,11
R1829,69,44
R1830,75,54
R1831,16,42
R1832,14,60
R1833,49,42
R1834,78,4
R1835,6,55
R1836,28,26
R1837,71,54
R1838,63,72
R1839,73,92
R1840,84,44
R1841,53,66
R1842,94,94
R1843,25,90
R1844,74,46
R1845,58,3
R1846,6,53
R1847,19,18
R1848,79,74
R1849,96,71
R1850,92,72
R1851,17,55
R1852,80,90
R1853,31,1
R1854,60,35
R1855,63,18
R1856,74,22
R1857,29,18
R1858,18,75
R1859,53,98
R1860,20,67
R1861,1,5
R1862,48,50
R1863,75,75
R1864,4,89
R1865,43,11
R1866,35,8
R1867,92,70
R1868,91,82
R1869,18,89
R1870,33,40
